season,week,celebrity,fan_share_mean,fan_share_std,base_component,casual_component,model_confidence
8,1,Gilles Marini,0.07949396383727567,0.034189682981388615,0.14021775565262573,0.03069108450694683,1.0
8,1,Denise Richards,0.07447546266764007,0.03347107798740781,0.13666132006705975,0.0225695943491295,1.0
8,1,David Alan Grier,0.07908882914406956,0.034933210269287696,0.1461052433628021,0.02341816608440656,1.0
8,1,Lawrence Taylor,0.0752785284923962,0.03829099698818355,0.14124817577894294,0.020011455301054977,1.0
8,1,Ty Murray,0.07592565138585532,0.03476241116471527,0.14589034538093587,0.017180825791172402,1.0
8,1,Shawn Johnson,0.08161478271376627,0.035761468868020146,0.14589584735143615,0.029233230197923007,1.0
8,1,Steve Wozniak,0.0710043615599229,0.036099363043973286,0.13657055843033977,0.01582385128675448,1.0
8,1,Belinda Carlisle,0.07567475260224717,0.03425069260873423,0.14072072375374456,0.02144459252351641,1.0
8,1,Chuck Wicks,0.07898956773789408,0.036513614483680526,0.14497233875201812,0.024380277619943897,1.0
8,1,Lil' Kim,0.0756714174031594,0.03340779569866527,0.13683053573954668,0.025280875593130303,1.0
8,1,Steve-O,0.07556765132820747,0.03517148579726898,0.14070402147548397,0.02163905679611755,1.0
8,1,Holly Madison,0.079160888868211,0.03466449403337906,0.14749996961515974,0.022445557815876076,1.0
8,1,Melissa Rycroft,0.07805414225935496,0.03526387406434471,0.13891635574966116,0.02801834580840021,1.0
8,2,Gilles Marini,0.07600056273673045,0.04387889003068857,0.14140109106825433,0.02865197985107654,0.106
8,2,Denise Richards,0.08793829157189265,0.0425815732517635,0.16770094137337307,0.026016918337964153,0.106
8,2,David Alan Grier,0.07967428472752962,0.03547247277555666,0.15899828525026374,0.019193032716226778,0.106
8,2,Lawrence Taylor,0.08458722698487475,0.03868942935340318,0.16495276775492276,0.02298992364244332,0.106
8,2,Ty Murray,0.07665154133040825,0.04002557529252731,0.14187838989566443,0.023780021102713947,0.106
8,2,Shawn Johnson,0.08487750397474797,0.03295786269584924,0.16129816956378631,0.02647214257094558,0.106
8,2,Steve Wozniak,0.08483282801969104,0.030971069750312177,0.1634612075468328,0.021516476730799344,0.106
8,2,Belinda Carlisle,0.02116797858523121,0.011964371879356585,0.028433981343360944,0.01958115914897296,0.106
8,2,Chuck Wicks,0.08843944165306214,0.04677484789575376,0.17229250334016716,0.02050651294238508,0.106
8,2,Lil' Kim,0.06910939488803365,0.036888812491337554,0.13087668795287233,0.022978043714996628,0.106
8,2,Steve-O,0.08585736426792398,0.036334315884959625,0.16999040742147217,0.016904462638388913,0.106
8,2,Holly Madison,0.08747428671445946,0.045093883285094054,0.17459236829189428,0.019770241278857004,0.106
8,2,Melissa Rycroft,0.07338929454541487,0.035079678837504555,0.1321142989418466,0.02805565046860543,0.106
8,3,Gilles Marini,0.0764539055251053,0.04323819438308995,0.14200421901653568,0.026636239047884702,0.136
8,3,Denise Richards,0.024058941643344437,0.015099307031930007,0.033220685974276944,0.02043921662601115,0.136
8,3,David Alan Grier,0.09859549509372367,0.03448239013662824,0.18590750270556983,0.030214537941706393,0.136
8,3,Lawrence Taylor,0.09055364779552733,0.03690453600427675,0.17647057585793982,0.02407284255349518,0.136
8,3,Ty Murray,0.07901452155761625,0.03361804490515748,0.13475940165442088,0.0353660652109071,0.136
8,3,Shawn Johnson,0.09308725527412938,0.05518070575489401,0.17380253523952982,0.02626144370618062,0.136
8,3,Steve Wozniak,0.08829276633329823,0.027301212488528338,0.17884045001969476,0.013275703566469534,0.136
8,3,Chuck Wicks,0.09200537074646636,0.04560823128492775,0.1760024069695441,0.022376979449530432,0.136
8,3,Lil' Kim,0.07240902667841075,0.03570646118406121,0.1329979897806701,0.02860870420325431,0.136
8,3,Steve-O,0.10034864642147776,0.03309554410126594,0.19638807851068524,0.021072698174355774,0.136
8,3,Holly Madison,0.10868767177817772,0.06025615379477709,0.21911864993832633,0.01875184865116515,0.136
8,3,Melissa Rycroft,0.0764927511527229,0.035322247179670765,0.13710071375739397,0.027254723657247168,0.136
8,4,Gilles Marini,0.09895810910327217,0.0464987526748374,0.19090309628879623,0.031332967558408406,0.082
8,4,David Alan Grier,0.10541077016784677,0.03327514497624738,0.21372598027489786,0.02801068731682431,0.082
8,4,Lawrence Taylor,0.09533844392712237,0.02971138547370903,0.19254004736775432,0.023168894942753475,0.082
8,4,Ty Murray,0.07859728858046539,0.0327200089617037,0.14071448964019212,0.03716263467417672,0.082
8,4,Shawn Johnson,0.10578260929279858,0.04570825638866379,0.2100154760836632,0.02436361492634927,0.082
8,4,Steve Wozniak,0.06971164338884023,0.01969321993056599,0.1450937884934909,0.014089717007860755,0.082
8,4,Chuck Wicks,0.0990150219056274,0.03315391910020717,0.19672034021423687,0.025303533633929988,0.082
8,4,Lil' Kim,0.08061997314417658,0.044853515528252175,0.14829746400687296,0.033428858954875795,0.082
8,4,Steve-O,0.1326231941758652,0.0431535951830251,0.27453894169679544,0.021222618440166024,0.082
8,4,Holly Madison,0.042616204884786825,0.019123834815902407,0.0774174709575043,0.020568843509323594,0.082
8,4,Melissa Rycroft,0.09132674142919843,0.03495801001952235,0.17829111905747502,0.029730004386669794,0.082
8,5,Gilles Marini,0.124203364522275,0.05136330497040023,0.18280516244251352,0.04035180759013002,0.072
8,5,David Alan Grier,0.04051825365476966,0.018249216632026576,0.042440666947726136,0.032468907477903416,0.072
