season,week,celebrity,fan_votes_mean,base_count,casual_votes,total_pool
1,1,John O'Hurley,192495.0,136368.0,56127.0,1010039.0
1,1,Kelly Monaco,183120.0,146903.0,36217.0,1010039.0
1,1,Evander Holyfield,193257.0,143568.0,49689.0,1010039.0
1,1,Rachel Hunter,197616.0,141225.0,56391.0,1010039.0
1,1,Joey McIntyre,193986.0,139980.0,54006.0,1010039.0
1,1,Trista Sutter,188083.0,138106.0,49977.0,1010039.0
1,2,John O'Hurley,183779.0,113905.0,69874.0,1071139.0
1,2,Kelly Monaco,211158.0,162918.0,48240.0,1071139.0
1,2,Evander Holyfield,229275.0,193605.0,35671.0,1071139.0
1,2,Rachel Hunter,183476.0,123562.0,59914.0,1071139.0
1,2,Joey McIntyre,198204.0,144947.0,53257.0,1071139.0
1,2,Trista Sutter,133665.0,94956.0,38709.0,1071139.0
1,3,John O'Hurley,201536.0,107416.0,94120.0,1403412.0
1,3,Kelly Monaco,254742.0,165711.0,89031.0,1403412.0
1,3,Evander Holyfield,215970.0,171081.0,44889.0,1403412.0
1,3,Rachel Hunter,223784.0,130383.0,93402.0,1403412.0
1,3,Joey McIntyre,222959.0,142927.0,80032.0,1403412.0
1,5,John O'Hurley,496407.0,145189.0,351219.0,3157520.0
1,5,Kelly Monaco,447342.0,142693.0,304649.0,3157520.0
1,5,Joey McIntyre,428436.0,139503.0,288933.0,3157520.0
1,6,John O'Hurley,635043.0,143682.0,491361.0,3236949.0
1,6,Kelly Monaco,639705.0,143212.0,496493.0,3236949.0
2,1,Tatum O'Neal,167505.0,131219.0,36286.0,1010039.0
2,1,Tia Carrere,174451.0,141897.0,32554.0,1010039.0
2,1,George Hamilton,187797.0,159128.0,28668.0,1010039.0
2,1,Lisa Rinna,174529.0,144583.0,29946.0,1010039.0
2,1,Stacy Keibler,174576.0,140452.0,34124.0,1010039.0
2,1,Jerry Rice,176798.0,144357.0,32441.0,1010039.0
2,1,Giselle Fernandez,170464.0,135265.0,35199.0,1010039.0
2,1,Master P,186473.0,167514.0,18959.0,1010039.0
2,1,Drew Lachey,182541.0,143434.0,39107.0,1010039.0
2,1,Kenny Mayne,105261.0,86916.0,18344.0,1010039.0
2,2,Tatum O'Neal,119974.0,93658.0,26316.0,1041020.0
2,2,Tia Carrere,185228.0,149166.0,36062.0,1041020.0
2,2,George Hamilton,184976.0,148684.0,36292.0,1041020.0
2,2,Lisa Rinna,187938.0,154754.0,33185.0,1041020.0
2,2,Stacy Keibler,179850.0,134994.0,44857.0,1041020.0
2,2,Jerry Rice,175028.0,136952.0,38076.0,1041020.0
2,2,Giselle Fernandez,175025.0,138225.0,36800.0,1041020.0
2,2,Master P,218901.0,191650.0,27252.0,1041020.0
2,2,Drew Lachey,193818.0,145193.0,48625.0,1041020.0
2,3,Tia Carrere,171611.0,118377.0,53234.0,1157501.0
2,3,George Hamilton,160365.0,116301.0,44064.0,1157501.0
2,3,Lisa Rinna,231107.0,179369.0,51737.0,1157501.0
2,3,Stacy Keibler,195664.0,146856.0,48808.0,1157501.0
2,3,Jerry Rice,173791.0,138325.0,35466.0,1157501.0
2,3,Giselle Fernandez,113901.0,84837.0,29065.0,1157501.0
2,3,Master P,283408.0,253214.0,30194.0,1157501.0
2,3,Drew Lachey,233016.0,161133.0,71884.0,1157501.0
2,4,Tia Carrere,226243.0,161893.0,64350.0,1492979.0
2,4,George Hamilton,244875.0,181619.0,63256.0,1492979.0
2,4,Lisa Rinna,257748.0,167618.0,90129.0,1492979.0
2,4,Stacy Keibler,284486.0,195532.0,88954.0,1492979.0
2,4,Jerry Rice,233062.0,146740.0,86322.0,1492979.0
2,4,Master P,207998.0,181721.0,26278.0,1492979.0
2,4,Drew Lachey,206596.0,98366.0,108229.0,1492979.0
2,5,Tia Carrere,216686.0,141323.0,75363.0,2007021.0
2,5,George Hamilton,309894.0,217709.0,92185.0,2007021.0
2,5,Lisa Rinna,290329.0,166773.0,123556.0,2007021.0
2,5,Stacy Keibler,388925.0,229882.0,159043.0,2007021.0
2,5,Jerry Rice,291921.0,171366.0,120555.0,2007021.0
2,5,Drew Lachey,285044.0,120471.0,164573.0,2007021.0
2,6,George Hamilton,275055.0,147205.0,127850.0,2342499.0
2,6,Lisa Rinna,331497.0,149463.0,182035.0,2342499.0
2,6,Stacy Keibler,416341.0,201411.0,214930.0,2342499.0
2,6,Jerry Rice,336814.0,130598.0,206215.0,2342499.0
2,6,Drew Lachey,330743.0,105964.0,224779.0,2342499.0
2,7,Lisa Rinna,452546.0,88107.0,364439.0,3196674.0
2,7,Stacy Keibler,609862.0,270252.0,339610.0,3196674.0
2,7,Jerry Rice,476045.0,143460.0,332585.0,3196674.0
2,7,Drew Lachey,463184.0,72635.0,390550.0,3196674.0
2,8,Stacy Keibler,704710.0,271225.0,433485.0,3236949.0
2,8,Jerry Rice,672433.0,143033.0,529399.0,3236949.0
2,8,Drew Lachey,576577.0,72328.0,504249.0,3236949.0
3,1,Harry Hamlin,168564.0,144636.0,23928.0,1010039.0
3,1,Vivica A. Fox,176714.0,144472.0,32242.0,1010039.0
3,1,Monique Coleman,168463.0,141663.0,26800.0,1010039.0
3,1,Joey Lawrence,173070.0,142983.0,30087.0,1010039.0
3,1,Mario Lopez,174109.0,136431.0,37677.0,1010039.0
3,1,Emmitt Smith,178251.0,144757.0,33493.0,1010039.0
3,1,Shanna Moakler,169551.0,142272.0,27279.0,1010039.0
3,1,Willa Ford,169468.0,138448.0,31020.0,1010039.0
3,1,Sara Evans,172529.0,150890.0,21640.0,1010039.0
3,1,Jerry Springer,180295.0,156837.0,23458.0,1010039.0
3,1,Tucker Carlson,115232.0,99126.0,16107.0,1010039.0
3,2,Harry Hamlin,174936.0,147640.0,27295.0,1030086.0
3,2,Vivica A. Fox,208913.0,170712.0,38201.0,1030086.0
3,2,Monique Coleman,178271.0,148503.0,29767.0,1030086.0
3,2,Joey Lawrence,189982.0,150145.0,39837.0,1030086.0
3,2,Mario Lopez,180119.0,149212.0,30908.0,1030086.0
3,2,Emmitt Smith,187623.0,159457.0,28167.0,1030086.0
3,2,Shanna Moakler,100146.0,75017.0,25128.0,1030086.0
3,2,Willa Ford,170639.0,138661.0,31978.0,1030086.0
3,2,Sara Evans,170761.0,141221.0,29540.0,1030086.0
3,2,Jerry Springer,246142.0,220811.0,25331.0,1030086.0
3,3,Harry Hamlin,126848.0,102347.0,24501.0,1087805.0
3,3,Vivica A. Fox,228067.0,171428.0,56639.0,1087805.0
3,3,Monique Coleman,248290.0,201781.0,46509.0,1087805.0
3,3,Joey Lawrence,218151.0,185716.0,32435.0,1087805.0
3,3,Mario Lopez,184586.0,140610.0,43975.0,1087805.0
3,3,Emmitt Smith,202106.0,187176.0,14931.0,1087805.0
3,3,Willa Ford,170312.0,127537.0,42775.0,1087805.0
3,3,Sara Evans,178456.0,132264.0,46192.0,1087805.0
3,3,Jerry Springer,239158.0,194786.0,44372.0,1087805.0
3,4,Vivica A. Fox,229587.0,172901.0,56686.0,1087805.0
3,4,Monique Coleman,246172.0,200195.0,45977.0,1087805.0
3,4,Joey Lawrence,217879.0,185131.0,32747.0,1087805.0
3,4,Mario Lopez,186086.0,142541.0,43544.0,1087805.0
3,4,Emmitt Smith,201468.0,186599.0,14869.0,1087805.0
3,4,Willa Ford,170585.0,128065.0,42520.0,1087805.0
3,4,Sara Evans,178567.0,132225.0,46342.0,1087805.0
3,4,Jerry Springer,236471.0,192021.0,44450.0,1087805.0
3,5,Monique Coleman,300161.0,202825.0,97337.0,1546865.0
3,5,Joey Lawrence,232596.0,188325.0,44271.0,1546865.0
3,5,Mario Lopez,225779.0,128839.0,96940.0,1546865.0
3,5,Emmitt Smith,245335.0,208914.0,36421.0,1546865.0
3,5,Willa Ford,187642.0,86235.0,101407.0,1546865.0
