season,week,celebrity,fan_share_mean,fan_share_std,base_count,casual_votes,total_votes,total_pool,model_confidence
1,1,John O'Hurley,0.1682336807707973,0.050495520297282326,136367.7576633651,56127.28448124924,192495.04214461433,1010039.2763864269,1.0
1,1,Kelly Monaco,0.15893313099680315,0.05036389207999164,146902.71117753995,36217.083962000506,183119.79513954045,1010039.2763864269,1.0
1,1,Evander Holyfield,0.16857816838655457,0.04785464156036694,143567.72192040458,49689.42328844672,193257.1452088513,1010039.2763864269,1.0
1,1,Rachel Hunter,0.17208776951235583,0.04951398787863577,141225.26428068566,56390.9060125995,197616.1702932852,1010039.2763864269,1.0
1,1,Joey McIntyre,0.16873279355374818,0.05062476032330127,139979.96769213222,54005.672583649604,193985.64027578183,1010039.2763864269,1.0
1,1,Trista Sutter,0.16343445677974094,0.04887531326392788,138105.83850823087,49977.02003859973,188082.85854683057,1010039.2763864269,1.0
1,2,John O'Hurley,0.1619773146850295,0.043101827349822215,113904.94837364026,69873.98185963096,183778.93023327127,1071138.8097663503,0.092
1,2,Kelly Monaco,0.18613256740803377,0.037537464492371664,162917.9390410396,48239.65414557605,211157.5931866156,1071138.8097663503,0.092
1,2,Evander Holyfield,0.20019688580171344,0.025378295930468038,193604.54552589302,35670.668504907095,229275.21403080015,1071138.8097663503,0.092
1,2,Rachel Hunter,0.16184290820462263,0.038144350172715565,123561.895048637,59914.27306381361,183476.1681124506,1071138.8097663503,0.092
1,2,Joey McIntyre,0.17261227149246583,0.03615780904343221,144947.05826591048,53256.913688925655,198203.9719548362,1071138.8097663503,0.092
1,2,Trista Sutter,0.11723805240813479,0.0206087298320605,94955.69388155034,38709.09456393321,133664.78844548354,1071138.8097663503,0.092
1,3,John O'Hurley,0.18249603466601128,0.042175048777598076,107415.9606888128,94120.28933166245,201536.25002047519,1403412.132054992,0.446
1,3,Kelly Monaco,0.22611381456059157,0.02596825799651535,165711.41666306581,89030.57491704327,254741.9915801091,1403412.132054992,0.446
1,3,Evander Holyfield,0.1927500068343848,0.018059771654920048,171081.34884045844,44888.64598457193,215969.9948250304,1403412.132054992,0.446
1,3,Rachel Hunter,0.1996701976551543,0.04232441827094872,130382.91506539084,93401.53730605914,223784.45237145002,1403412.132054992,0.446
1,3,Joey McIntyre,0.19896994628385803,0.04332371218448147,142927.11973154222,80032.21123548035,222959.33096702257,1403412.132054992,0.446
1,4,John O'Hurley,0.265953189620548,0.022266128590569617,148370.78194664497,160087.0168771946,308457.7988238396,2096587.8679450077,0.0
1,4,Kelly Monaco,0.22760495622364185,0.02296308725247489,119093.05350067795,145160.7823157264,264253.8358164044,2096587.8679450077,0.0
