season,week,celebrity,judge_score,is_exited,exit_week,final_rank,placement,results,judge_corr
1,1,John O'Hurley,6.666666666666667,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,2,John O'Hurley,8.666666666666666,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,3,John O'Hurley,8.0,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,4,John O'Hurley,7.0,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,5,John O'Hurley,9.0,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,6,John O'Hurley,9.0,False,6.0,2.0,2,2nd Place,0.6963961012123931
1,1,Kelly Monaco,4.333333333333333,False,6.0,1.0,1,1st Place,0.30980404256692273
1,2,Kelly Monaco,5.666666666666667,False,6.0,1.0,1,1st Place,0.30980404256692273
1,3,Kelly Monaco,7.0,False,6.0,1.0,1,1st Place,0.30980404256692273
1,4,Kelly Monaco,8.666666666666666,False,6.0,1.0,1,1st Place,0.30980404256692273
1,5,Kelly Monaco,7.833333333333333,False,6.0,1.0,1,1st Place,0.30980404256692273
1,6,Kelly Monaco,9.166666666666666,False,6.0,1.0,1,1st Place,0.30980404256692273
1,1,Evander Holyfield,6.0,False,3.0,,5,Eliminated Week 3,0.75
1,2,Evander Holyfield,4.666666666666667,False,3.0,,5,Eliminated Week 3,0.75
1,3,Evander Holyfield,4.333333333333333,True,3.0,,5,Eliminated Week 3,0.75
1,1,Rachel Hunter,6.666666666666667,False,4.0,,4,Eliminated Week 4,0.7236067977499789
1,2,Rachel Hunter,8.0,False,4.0,,4,Eliminated Week 4,0.7236067977499789
1,3,Rachel Hunter,8.666666666666666,False,4.0,,4,Eliminated Week 4,0.7236067977499789
1,4,Rachel Hunter,8.333333333333334,True,4.0,,4,Eliminated Week 4,0.7236067977499789
1,1,Joey McIntyre,6.666666666666667,False,6.0,3.0,3,3rd Place,0.8608439182435161
1,2,Joey McIntyre,7.0,False,6.0,3.0,3,3rd Place,0.8608439182435161
1,3,Joey McIntyre,7.333333333333333,False,6.0,3.0,3,3rd Place,0.8608439182435161
1,4,Joey McIntyre,6.666666666666667,False,6.0,3.0,3,3rd Place,0.8608439182435161
1,5,Joey McIntyre,7.5,False,6.0,3.0,3,3rd Place,0.8608439182435161
1,1,Trista Sutter,6.0,False,2.0,,6,Eliminated Week 2,
1,2,Trista Sutter,6.333333333333333,True,2.0,,6,Eliminated Week 2,
2,1,Tatum O'Neal,7.666666666666667,False,2.0,,9,Eliminated Week 2,1.0
2,2,Tatum O'Neal,5.666666666666667,True,2.0,,9,Eliminated Week 2,1.0
2,1,Tia Carrere,6.666666666666667,False,5.0,,6,Eliminated Week 5,0.43936609374091673
2,2,Tia Carrere,7.333333333333333,False,5.0,,6,Eliminated Week 5,0.43936609374091673
2,3,Tia Carrere,8.666666666666666,False,5.0,,6,Eliminated Week 5,0.43936609374091673
2,4,Tia Carrere,8.333333333333334,False,5.0,,6,Eliminated Week 5,0.43936609374091673
2,5,Tia Carrere,7.333333333333333,True,5.0,,6,Eliminated Week 5,0.43936609374091673
2,1,George Hamilton,6.0,False,6.0,,5,Eliminated Week 6,0.10946061862680051
2,2,George Hamilton,7.333333333333333,False,6.0,,5,Eliminated Week 6,0.10946061862680051
2,3,George Hamilton,7.333333333333333,False,6.0,,5,Eliminated Week 6,0.10946061862680051
2,4,George Hamilton,7.0,False,6.0,,5,Eliminated Week 6,0.10946061862680051
2,5,George Hamilton,8.0,False,6.0,,5,Eliminated Week 6,0.10946061862680051
2,6,George Hamilton,7.666666666666667,True,6.0,,5,Eliminated Week 6,0.10946061862680051
2,1,Lisa Rinna,6.333333333333333,False,7.0,,4,Eliminated Week 7,0.1019985271210756
2,2,Lisa Rinna,6.666666666666667,False,7.0,,4,Eliminated Week 7,0.1019985271210756
2,3,Lisa Rinna,8.333333333333334,False,7.0,,4,Eliminated Week 7,0.1019985271210756
2,4,Lisa Rinna,8.666666666666666,False,7.0,,4,Eliminated Week 7,0.1019985271210756
2,5,Lisa Rinna,8.333333333333334,False,7.0,,4,Eliminated Week 7,0.1019985271210756
2,6,Lisa Rinna,9.0,False,7.0,,4,Eliminated Week 7,0.1019985271210756
