season,week,w_judge,w_fan,disagreement,correlation
1,1,0.563309522448824,0.4366904775511759,0.037089950113724235,0.9258200997725515
1,2,0.48350000000000004,0.5165,0.25,0.49999999999999994
1,3,0.477,0.523,0.30000000000000004,0.39999999999999997
1,4,0.348,0.652,1.0,-1.0
1,5,0.5,0.5,0.0,1.0
2,1,0.5738459957248232,0.42615400427517675,0.013675565055948302,0.9726488698881034
2,2,0.45115734656508844,0.5488426534349116,0.3117138330299623,0.3765723339400754
2,3,0.41522727667882386,0.5847727233211761,0.44577919706991354,0.10844160586017297
2,4,0.4281299846838291,0.5718700153161709,0.4369343776113109,0.12613124477737825
2,5,0.5742857142857143,0.4257142857142857,0.11428571428571427,0.7714285714285715
2,6,0.6255965992042227,0.37440340079577733,0.02565835097474317,0.9486832980505137
2,7,0.5895910057302685,0.4104089942697315,0.13106760631368908,0.7378647873726218
2,8,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
3,1,0.5794880539441607,0.42051194605583936,0.0011376579018652633,0.9977246841962695
3,2,0.5272928431639531,0.4727071568360469,0.13688010161096847,0.726239796778063
3,3,0.44556922771172425,0.5544307722882758,0.3382412223690078,0.3235175552619844
3,4,0.5408603660663962,0.45913963393360385,0.14623622355615673,0.7075275528876865
3,5,0.4757155939706311,0.5242844060293689,0.31075547018872096,0.378489059622558
3,6,0.6244444444444445,0.37555555555555553,5.551115123125783e-17,0.9999999999999999
3,7,0.6217870753946989,0.3782129246053011,0.02565835097474306,0.9486832980505139
3,8,0.4455555555555555,0.5544444444444445,0.5,0.0
3,9,0.45444444444444443,0.5455555555555556,0.5,0.0
3,10,0.5,0.5,0.0,1.0
4,1,0.578974937721328,0.42102506227867204,0.002277916174826755,0.9954441676503465
4,2,0.4885190235054633,0.5114809764945367,0.22304414529650135,0.5539117094069973
4,3,0.3654075971294958,0.6345924028705042,0.7142210838896924,-0.42844216777938476
4,4,0.41798417507942176,0.5820158249205782,0.4520949495234696,0.09581010095306072
4,5,0.4950198412698412,0.5049801587301588,0.2678571428571428,0.4642857142857144
4,6,0.46466868595534494,0.5353313140446551,0.35505724108688785,0.28988551782622424
4,7,0.6217870753946988,0.37821292460530115,0.02565835097474317,0.9486832980505137
4,8,0.4455555555555555,0.5544444444444445,0.5,0.0
4,9,0.45444444444444443,0.5455555555555556,0.5,0.0
4,10,0.38,0.62,1.0,-0.9999999999999999
5,1,0.5674955856669941,0.43250441433300585,0.027787587406679748,0.9444248251866405
5,2,0.4861704659596361,0.5138295340403639,0.2282631620650062,0.5434736758699876
5,3,0.41239449778421666,0.5876055022157833,0.432299679961367,0.135400640077266
5,4,0.5252865612047941,0.4747134387952059,0.18084467880416122,0.6383106423916776
5,5,0.5423738037597977,0.4576261962402023,0.162626115101684,0.674747769796632
5,6,0.43228246509125556,0.5677175349087444,0.4729718761191332,0.054056247761733546
5,7,0.46051272654205366,0.5394872734579463,0.38404579286951035,0.23190841426097936
5,8,0.4372222222222222,0.5627777777777778,0.55,-0.09999999999999999
5,9,0.4735452760136367,0.5264547239863633,0.39459074466105404,0.21081851067789195
5,10,0.5475,0.4525,0.25,0.5
6,1,0.5748498181155629,0.4251501818844371,0.01144484863208245,0.9771103027358351
6,2,0.5646945360675362,0.4353054639324639,0.05376522849189508,0.8924695430162098
6,3,0.4681304579744543,0.5318695420255457,0.28810515511849677,0.4237896897630065
6,4,0.43414535001665444,0.5658546499833456,0.38338070366669386,0.23323859266661226
6,5,0.4325275070286383,0.5674724929713617,0.41816829116150284,0.16366341767699433
6,6,0.46466868595534494,0.5353313140446551,0.35505724108688785,0.28988551782622424
6,7,0.4281168470659571,0.5718831529340429,0.5512989176042578,-0.10259783520851543
6,8,0.5072222222222222,0.4927777777777778,0.30000000000000004,0.39999999999999997
6,9,0.5386111111111112,0.4613888888888889,0.25,0.5
6,10,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
7,1,0.4956672642264479,0.5043327357735521,0.18740607949678234,0.6251878410064353
7,2,0.3964370600460462,0.6035629399539538,0.47471097305705634,0.05057805388588733
7,3,0.3878053191698575,0.6121946808301425,0.5798347516475217,-0.1596695032950434
7,4,0.47498711114237024,0.5250128888576298,0.2926212344984367,0.4147575310031267
7,5,0.43920617854111565,0.5607938214588843,0.3918875044765329,0.21622499104693418
7,6,0.471191110106435,0.528808889893565,0.3405629651955767,0.3188740696088466
7,7,0.42000000000000004,0.58,0.6,-0.19999999999999998
7,8,0.4646563871247479,0.5353436128752521,0.39459074466105404,0.21081851067789195
7,9,0.6209668269626099,0.3790331730373902,0.06698729810778065,0.8660254037844387
7,10,0.38,0.62,1.0,-0.9999999999999999
8,1,0.57907088384931,0.42092911615068995,0.0020647025570887934,0.9958705948858224
8,2,0.5542772785770782,0.4457227214229218,0.07493938093982627,0.8501212381203475
8,3,0.5272172164339111,0.4727827835660889,0.15285063014686429,0.6942987397062714
8,4,0.4448548827984633,0.5551451172015367,0.353655816003415,0.29268836799317
8,5,0.3958073604623664,0.6041926395376336,0.6171558372258013,-0.23431167445160245
8,6,0.5108703408401079,0.4891296591598922,0.24251035368864932,0.5149792926227014
8,7,0.47192171589621024,0.5280782841037898,0.34684063134175497,0.30631873731649006
8,8,0.4296704827391258,0.5703295172608742,0.5579771035652449,-0.11595420713048968
8,9,0.4997957952267059,0.5002042047732941,0.320453788385098,0.35909242322980395
8,10,0.372,0.628,1.0,-1.0
8,11,0.38,0.62,1.0,-0.9999999999999999
9,1,0.5524566113114264,0.4475433886885736,0.06120753041905247,0.8775849391618951
9,2,0.4425145595448883,0.5574854404551117,0.3252762874311126,0.3494474251377748
9,3,0.5471930640981548,0.4528069359018452,0.11241047484360656,0.7751790503127869
9,4,0.5443707295088527,0.4556292704911473,0.13843541590625336,0.7231291681874933
9,5,0.4653336363255002,0.5346663636744998,0.3338264871779008,0.3323470256441984
9,6,0.5794444444444444,0.4205555555555555,0.10000000000000003,0.7999999999999999
9,7,0.598881606693444,0.40111839330655596,0.07655939253308724,0.8468812149338255
9,8,0.6365250949804239,0.36347490501957613,0.012660282759551833,0.9746794344808963
9,9,0.5161111111111111,0.4838888888888889,0.30000000000000004,0.39999999999999997
9,10,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
10,1,0.5774284869754363,0.42257151302456375,0.0057144733879194165,0.9885710532241612
10,2,0.47331188675130054,0.5266881132486995,0.2568377825279742,0.4863244349440517
10,3,0.4075234758116434,0.5924765241883566,0.46152581179680674,0.07694837640638655
10,4,0.4352380952380953,0.5647619047619047,0.38095238095238093,0.2380952380952381
10,5,0.414384201575411,0.585615798424589,0.5270281238808667,-0.054056247761733546
10,6,0.4396825396825397,0.5603174603174603,0.42857142857142855,0.14285714285714288
10,7,0.4024673882638282,0.5975326117361718,0.7051956704170308,-0.4103913408340617
10,8,0.5972222222222222,0.4027777777777778,0.10000000000000003,0.7999999999999999
10,9,0.5386111111111112,0.4613888888888889,0.25,0.5
10,10,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
11,1,0.5772294457839162,0.4227705542160837,0.006156787146852749,0.9876864257062945
11,2,0.5588383954552054,0.44116160454479453,0.06677887429707435,0.8664422514058513
11,3,0.5519751736560017,0.4480248263439983,0.10178356471505806,0.7964328705698839
11,4,0.5616666666666668,0.4383333333333333,0.10000000000000003,0.7999999999999999
11,5,0.5198991918421875,0.48010080815781253,0.21256969714081786,0.5748606057183643
11,6,0.4396825396825397,0.5603174603174603,0.42857142857142855,0.14285714285714288
11,7,0.5352981544038711,0.46470184559612887,0.21785595317658263,0.5642880936468347
11,8,0.5832417993810621,0.41675820061893787,0.13106760631368908,0.7378647873726218
11,9,0.6511111111111111,0.3488888888888889,0.0,1.0
11,10,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
12,1,0.575371325621695,0.42462867437830504,0.01028594306290015,0.9794281138741997
12,2,0.5667014454642431,0.43329855453575694,0.04930542983254638,0.9013891403349072
12,3,0.4867777341121895,0.5132222658878105,0.24666676370130725,0.5066664725973855
12,4,0.492819312673344,0.507180687326656,0.2529941199851615,0.4940117600296769
12,5,0.5589638229827074,0.44103617701729253,0.1257594057174401,0.7484811885651198
12,6,0.5494601999195154,0.4505398000804845,0.16663165449984213,0.6667366910003157
12,7,0.5352981544038711,0.46470184559612887,0.21785595317658263,0.5642880936468347
12,8,0.6422222222222222,0.3577777777777778,0.0,1.0
12,9,0.6511111111111111,0.3488888888888889,0.0,1.0
12,10,0.4633333333333334,0.5366666666666666,0.5,0.0
13,1,0.5716989697713465,0.4283010302286535,0.018446733841452234,0.9631065323170955
13,2,0.39806564090977503,0.601934359090225,0.46493948787468287,0.07012102425063428
13,3,0.4518216509388111,0.5481783490611889,0.3243469485310372,0.3513061029379257
13,4,0.41000000000000014,0.5899999999999999,0.5,0.0
13,5,0.4319420451498356,0.5680579548501644,0.4216810624343195,0.15663787513136096
13,6,0.49269147183343476,0.5073085281665652,0.29278438358002146,0.41443123283995714
13,7,0.4438095238095239,0.5561904761904761,0.45714285714285713,0.08571428571428573
13,8,0.4498304653559103,0.5501695346440897,0.4743505411978711,0.05129891760425771
13,9,0.5611111111111111,0.4388888888888889,0.19999999999999996,0.6000000000000001
13,10,0.6599999999999999,0.34,0.0,1.0
14,1,0.5736157180255623,0.4263842819744377,0.014187293276528179,0.9716254134469436
14,2,0.5667540811668044,0.43324591883319563,0.04918846160463236,0.9016230767907353
14,3,0.5280425286298075,0.4719574713701925,0.15496722032882293,0.6900655593423541
14,4,0.38688994031255963,0.6131100596874404,0.638660358124643,-0.2773207162492859
14,5,0.45562051907165935,0.5443794809283407,0.355411192186436,0.28917761562712796
14,6,0.6164087301587302,0.3835912698412698,0.017857142857142738,0.9642857142857145
14,7,0.48007999899532383,0.5199200010046762,0.3405629651955767,0.3188740696088466
14,8,0.45410537515626515,0.5458946248437349,0.4487010823957423,0.10259783520851543
14,9,0.4127777777777777,0.5872222222222223,0.75,-0.5
14,10,0.6599999999999999,0.34,5.551115123125783e-17,0.9999999999999999
15,1,0.5535524658771545,0.4464475341228456,0.05877229805076806,0.8824554038984639
15,2,0.47163803961510076,0.5283619603848992,0.2605574428306404,0.47888511433871916
15,3,0.406954529798664,0.593045470201336,0.46493948787468287,0.07012102425063428
15,4,0.5567728019488017,0.44322719805119826,0.11087525492858874,0.7782494901428225
15,5,0.4733164190191246,0.5266835809808754,0.31608697008095765,0.36782605983808475
15,6,0.41716996366908365,0.5828300363309163,0.5636468846521645,-0.1272937693043289
15,7,0.47583333333333333,0.5241666666666667,0.35,0.3
15,8,0.419203241720819,0.580796758279181,0.658113883008419,-0.316227766016838
15,9,0.6511111111111111,0.3488888888888889,0.0,1.0
15,10,0.38,0.62,1.0,-0.9999999999999999
16,1,0.5724345335388317,0.42756546646116833,0.016812147691485202,0.9663757046170296
16,2,0.5842385593509236,0.41576144064907644,0.010334065639922951,0.9793318687201541
16,3,0.5547534278556641,0.445246572144336,0.09560966649358615,0.8087806670128277
16,4,0.5499499194815742,0.4500500805184257,0.126037215966872,0.747925568066256
16,5,0.5333724872887117,0.46662751271128833,0.18262904059298635,0.6347419188140273
16,6,0.5007999089976949,0.4992000910023051,0.27476563432611023,0.4504687313477795
